event,model,origin,n,rmse,mae,max_observed,max_predicted
Hurricane Ida Remnants,ARIMA,2021-08-31T12:00:00Z,49,6.45839800328399,2.58363107258312,31.2,0.0730460108999661
Hurricane Ida Remnants,Model 1,2021-08-31T12:00:00Z,49,6.46092996880802,2.58287513682617,31.2,0.0663280612496032
Hurricane Ida Remnants,Model 2,2021-08-31T12:00:00Z,49,6.46125809621517,2.58275435921311,31.2,0.0654826179929566
Hurricane Ida Remnants,Model 3,2021-08-31T12:00:00Z,49,6.02900927744895,2.37728462971625,31.2,2.32331954083161
