event,model,origin,n,rmse,mae,max_observed,max_predicted
Summer Convective Storm,ARIMA,2021-07-16T12:00:00Z,49,0.794848636281718,0.253751360559566,5.1,0.0720743383159249
Summer Convective Storm,Model 1,2021-07-16T12:00:00Z,49,0.796096369174035,0.248970146494426,5.1,0.064867739645835
Summer Convective Storm,Model 2,2021-07-16T12:00:00Z,49,0.796227971061404,0.248344266690628,5.1,0.0641062200368031
Summer Convective Storm,Model 3,2021-07-16T12:00:00Z,49,0.77800251079482,0.240428088398091,5.1,0.279956662320715
